CustomerID,Lookalikes
C0001,"[('C0139', 0.9999868808961591), ('C0193', 0.9998096110969698), ('C0011', 0.9997949778407051)]"
C0002,"[('C0029', 0.999916648063628), ('C0019', 0.9995096411821508), ('C0025', 0.9992419076569719)]"
C0003,"[('C0124', 0.9987683656419095), ('C0038', 0.9987126261643443), ('C0190', 0.9977394187171037)]"
C0004,"[('C0017', 0.9998858943700686), ('C0175', 0.9998366971272976), ('C0113', 0.9995464525662086)]"
C0005,"[('C0063', 0.9999854098992549), ('C0007', 0.9997903515577732), ('C0146', 0.999720276169115)]"
C0006,"[('C0023', 0.9999294373393113), ('C0154', 0.9998985789276944), ('C0152', 0.9997879300622249)]"
C0007,"[('C0146', 0.9998578025228806), ('C0005', 0.9997903515577732), ('C0063', 0.9997796297262492)]"
C0008,"[('C0084', 0.9995734861924988), ('C0039', 0.9991264230069831), ('C0017', 0.9988892861216573)]"
C0009,"[('C0020', 0.9999934031283176), ('C0080', 0.9999008454383576), ('C0128', 0.9997158708480173)]"
C0010,"[('C0121', 0.9989344823273082), ('C0034', 0.9959010004344655), ('C0134', 0.9938963919570193)]"
C0011,"[('C0001', 0.9997949778407051), ('C0139', 0.9997817352938272), ('C0064', 0.9994934372617106)]"
C0012,"[('C0093', 0.999985682642632), ('C0018', 0.9999011239940065), ('C0145', 0.9998215172037876)]"
C0013,"[('C0059', 0.9997341346587364), ('C0021', 0.9996964920807709), ('C0114', 0.9995608529653901)]"
C0014,"[('C0128', 0.9995810323471414), ('C0009', 0.9987402228408658), ('C0020', 0.9987047934861141)]"
C0015,"[('C0009', 0.9996227090777358), ('C0020', 0.9995221613823587), ('C0198', 0.9993365410019455)]"
C0016,"[('C0040', 0.9999803478790835), ('C0158', 0.9996914566045159), ('C0185', 0.9992193177564116)]"
C0017,"[('C0004', 0.9998858943700686), ('C0084', 0.99983706473388), ('C0113', 0.9995478785267378)]"
C0018,"[('C0012', 0.9999011239940065), ('C0093', 0.9998135932901331), ('C0101', 0.9995612027154903)]"
C0019,"[('C0025', 0.9999670948250402), ('C0088', 0.9995718644978312), ('C0166', 0.9995585806644155)]"
C0020,"[('C0009', 0.9999934031283176), ('C0080', 0.9999453990138811), ('C0128', 0.9997255133313289)]"
